External ID,Parent External ID,Issue Type,Summary,Description,Epic Name,Priority,Story Points,Sprint,Labels
US-2,EPIC-1,Story,US2 - Вход в системата,"Като потребител искам да влизам в системата, за да имам достъп до функционалностите й. AC: валидни данни създават session; грешни данни показват съобщение; успешният вход прави redirect към начална страница; блокиран потребител няма достъп.",,High,3,Sprint 1 - MVP,"accounts,login"
US-2-T1,US-2,Task,US2 / Task 1 - Създаване на login форма,"UI форма за вход с имейл и парола.",,High,,Sprint 1 - MVP,"accounts,login"
US-2-T2,US-2,Task,US2 / Task 2 - Проверка на имейл и парола,"Проверка на данните срещу базата.",,High,,Sprint 1 - MVP,"accounts,login"
US-2-T3,US-2,Task,US2 / Task 3 - Redirect след успешен вход,"Пренасочване към начална страница.",,Medium,,Sprint 1 - MVP,"accounts,navigation"
US-2-T4,US-2,Task,US2 / Task 4 - Грешка при невалидни данни,"Показване на съобщение при грешни credentials.",,High,,Sprint 1 - MVP,"accounts,login"
US-2-T5,US-2,Task,US2 / Task 5 - Създаване на user session,"Session или token логика при успешен вход.",,High,,Sprint 1 - MVP,"accounts,session"
US-3,EPIC-1,Story,US3 - Ролев достъп,"Като потребител искам да виждам само функционалности според ролята си. AC: Teacher/Admin могат да управляват събития; Admin управлява потребители и статистика; Student действа само от свое име; Parent потвърждава свързан ученик; защитените URL-и са ограничени.",,High,5,Sprint 1 - MVP,"accounts,roles"
US-3-T1,US-3,Task,US3 / Task 1 - Дефиниране на роли,"Добавяне на Student Teacher Parent Admin роли.",,High,,Sprint 1 - MVP,"accounts,roles"
US-3-T2,US-3,Task,US3 / Task 2 - Route guards,"Ограничаване на страници и API endpoints по роля.",,High,,Sprint 1 - MVP,"accounts,security"
US-3-T3,US-3,Task,US3 / Task 3 - Скриване на неразрешени действия,"Скриване на бутони и менюта без достъп.",,Medium,,Sprint 1 - MVP,"accounts,ui"
US-3-T4,US-3,Task,US3 / Task 4 - Admin bootstrap,"Seed или начална логика за администратор.",,Medium,,Sprint 1 - MVP,"accounts,admin"
US-4,EPIC-2,Story,US4 - Създаване на събитие,"Като организатор искам да създам събитие, за да могат учениците да се записват. AC: Teacher/Admin могат да създават; required полетата се валидират; записът се пази в базата; събитието става видимо в списъка.",,High,5,Sprint 1 - MVP,"events,create"
US-4-T1,US-4,Task,US4 / Task 1 - Форма за събитие,"Форма за създаване на събитие.",,High,,Sprint 1 - MVP,"events,create"
US-4-T2,US-4,Task,US4 / Task 2 - Полета за събитие,"Заглавие описание категория дата локация места цена.",,High,,Sprint 1 - MVP,"events,create"
US-4-T3,US-4,Task,US4 / Task 3 - Валидация на задължителните полета,"Client и server валидиране на required данни.",,High,,Sprint 1 - MVP,"events,validation"
US-4-T4,US-4,Task,US4 / Task 4 - Запис в база,"Persist на event запис в базата.",,High,,Sprint 1 - MVP,"events,database"
US-5,EPIC-2,Story,US5 - Редакция и отмяна на събитие,"Като организатор искам да редактирам или отменям събитие, за да поддържам информацията актуална. AC: Teacher/Admin могат да редактират; невалидни промени се блокират; отменено събитие не приема регистрации; промените се пазят в базата.",,High,5,Sprint 2 - Improvements,"events,update"
US-5-T1,US-5,Task,US5 / Task 1 - Форма за редакция,"Създаване на форма за редакция на събитие.",,High,,Sprint 2 - Improvements,"events,update"
US-5-T2,US-5,Task,US5 / Task 2 - Промяна на основни полета,"Редакция на дата категория места описание и цена.",,High,,Sprint 2 - Improvements,"events,update"
US-5-T3,US-5,Task,US5 / Task 3 - Отмяна или soft delete,"Добавяне на action за cancel на събитие.",,High,,Sprint 2 - Improvements,"events,delete"
US-5-T4,US-5,Task,US5 / Task 4 - Проверка за лимит на местата,"Забрана за лимит под броя вече записани.",,Medium,,Sprint 2 - Improvements,"events,validation"
US-6,EPIC-2,Story,US6 - Детайлна страница за събитие,"Като потребител искам да виждам детайлна страница на събитие, за да преценя дали да участвам. AC: страницата зарежда данни от базата; показва ключова информация; има контекстни действия; връща приятелско съобщение при липсващо събитие.",,High,3,Sprint 1 - MVP,"events,details"
US-6-T1,US-6,Task,US6 / Task 1 - Route за детайлна страница,"Създаване на URL и page за event details.",,High,,Sprint 1 - MVP,"events,details"
US-6-T2,US-6,Task,US6 / Task 2 - Показване на основни данни,"Заглавие описание дата категория места цена организатор.",,High,,Sprint 1 - MVP,"events,details"
US-6-T3,US-6,Task,US6 / Task 3 - Контекстни бутони,"Бутон за записване или отказ според статуса.",,Medium,,Sprint 1 - MVP,"events,details"
US-6-T4,US-6,Task,US6 / Task 4 - Съобщение при липсващо събитие,"404 или friendly state при липсващ запис.",,Medium,,Sprint 1 - MVP,"events,error-handling"
US-7,EPIC-3,Story,US7 - Записване за събитие,"Като ученик искам да се записвам за събитие, за да участвам в него. AC: записването работи само при свободни места; няма двойно записване; свободните места се обновяват; регистрацията се записва в базата; при запълнено събитие се показва грешка.",,High,5,Sprint 1 - MVP,"registrations,create"
US-7-T1,US-7,Task,US7 / Task 1 - Бутон за записване,"Добавяне на CTA за регистрация в event details.",,High,,Sprint 1 - MVP,"registrations,create"
US-7-T2,US-7,Task,US7 / Task 2 - Създаване на registration запис,"Persist на регистрация в базата.",,High,,Sprint 1 - MVP,"registrations,database"
US-7-T3,US-7,Task,US7 / Task 3 - Намаляване на свободните места,"Обновяване на remaining seats.",,High,,Sprint 1 - MVP,"registrations,capacity"
US-7-T4,US-7,Task,US7 / Task 4 - Ограничаване на двойно записване,"Проверка за дублирана регистрация.",,High,,Sprint 1 - MVP,"registrations,validation"
US-8,EPIC-3,Story,US8 - Отписване от събитие,"Като ученик искам да мога да се отпиша от събитие, за да освободя мястото си. AC: ученикът отменя свое участие; системата иска потвърждение; свободните места се увеличават; промяната се пази в базата.",,Medium,3,Sprint 1 - MVP,"registrations,delete"
US-8-T1,US-8,Task,US8 / Task 1 - Бутон отказвам участие,"Добавяне на action за отказ от участие.",,Medium,,Sprint 1 - MVP,"registrations,delete"
US-8-T2,US-8,Task,US8 / Task 2 - Премахване или деактивиране на регистрацията,"Delete или cancel логика за registration.",,High,,Sprint 1 - MVP,"registrations,database"
US-8-T3,US-8,Task,US8 / Task 3 - Обновяване на свободните места,"Увеличаване на remaining seats.",,High,,Sprint 1 - MVP,"registrations,capacity"
US-8-T4,US-8,Task,US8 / Task 4 - Потвърждение на отказа,"UI потвърждение преди отказ.",,Medium,,Sprint 1 - MVP,"registrations,ui"
US-9,EPIC-3,Story,US9 - Списък с участници,"Като организатор искам да виждам списък с участници, за да знам кой ще присъства. AC: Teacher/Admin виждат име имейл и статус; броят участници е коректен; търсенето по име и имейл работи; сортирането по име работи.",,High,5,Sprint 1 - MVP,"registrations,list"
US-9-T1,US-9,Task,US9 / Task 1 - Страница с участници,"Изграждане на страница за участници по събитие.",,High,,Sprint 1 - MVP,"registrations,list"
US-9-T2,US-9,Task,US9 / Task 2 - Колони име имейл статус,"Показване на основните данни в таблица.",,High,,Sprint 1 - MVP,"registrations,list"
US-9-T3,US-9,Task,US9 / Task 3 - Брой записани участници,"Визуализиране на агрегирания брой участници.",,Medium,,Sprint 1 - MVP,"registrations,list"
US-9-T4,US-9,Task,US9 / Task 4 - Търсене в списъка,"Филтър по име или имейл в участници.",,Medium,,Sprint 1 - MVP,"registrations,search"
US-9-T5,US-9,Task,US9 / Task 5 - Сортиране по име,"Sort функционалност в participant list.",,Medium,,Sprint 1 - MVP,"registrations,sort"
US-10,EPIC-3,Story,US10 - Родителско съгласие плащане и seat plan,"Като организатор и родител искам да управлявам съгласие, плащане и място, за да е ясна организацията. AC: Parent потвърждава или отказва за свързан ученик; payment status paid или unpaid се пази; seat plan се задава от Teacher/Admin; всички промени се записват в базата.",,High,8,Sprint 2 - Improvements,"registrations,consent"
US-10-T1,US-10,Task,US10 / Task 1 - Consent статус,"Добавяне на pending approved rejected статути.",,High,,Sprint 2 - Improvements,"registrations,consent"
US-10-T2,US-10,Task,US10 / Task 2 - Payment status,"Добавяне на paid и unpaid статус.",,High,,Sprint 2 - Improvements,"registrations,payment"
US-10-T3,US-10,Task,US10 / Task 3 - Seat plan поле,"Добавяне на seat assignment към регистрация.",,Medium,,Sprint 2 - Improvements,"registrations,seat-plan"
US-10-T4,US-10,Task,US10 / Task 4 - Parent confirmation UI,"Екран или действие за родителско потвърждение.",,High,,Sprint 2 - Improvements,"registrations,parent"
US-10-T5,US-10,Task,US10 / Task 5 - Teacher Admin редакция,"Управление на payment status и seat plan от организатор.",,High,,Sprint 2 - Improvements,"registrations,management"
US-11,EPIC-4,Story,US11 - Търсене на събитие по име,"Като потребител искам да търся събитие по име, за да намирам това което ме интересува. AC: търсенето работи по пълно или частично съвпадение; резултатите се обновяват коректно; при липса на резултат има съобщение; изчистването връща пълния списък.",,Medium,3,Sprint 1 - MVP,"search,events"
US-11-T1,US-11,Task,US11 / Task 1 - Поле за търсене,"Добавяне на search input в списъка със събития.",,Medium,,Sprint 1 - MVP,"search,ui"
US-11-T2,US-11,Task,US11 / Task 2 - Филтриране по заглавие,"Search логика по event title.",,Medium,,Sprint 1 - MVP,"search,events"
US-11-T3,US-11,Task,US11 / Task 3 - Показване на съвпадащи резултати,"Render само на match-ващи събития.",,Medium,,Sprint 1 - MVP,"search,events"
US-11-T4,US-11,Task,US11 / Task 4 - Съобщение при липса на резултати,"Empty state при no results.",,Low,,Sprint 1 - MVP,"search,ui"
US-12,EPIC-4,Story,US12 - Филтриране по категория и дата,"Като потребител искам да филтрирам събития по категории и дата, за да разглеждам само подходящите за мен. AC: категория и дата работят поотделно и заедно; бутон за изчистване връща пълния списък.",,Medium,3,Sprint 1 - MVP,"filter,events"
US-12-T1,US-12,Task,US12 / Task 1 - Dropdown за категория,"UI за избор на категория.",,Medium,,Sprint 1 - MVP,"filter,ui"
US-12-T2,US-12,Task,US12 / Task 2 - Филтър по дата,"UI и логика за date filter.",,Medium,,Sprint 1 - MVP,"filter,events"
US-12-T3,US-12,Task,US12 / Task 3 - Бутон изчисти филтрите,"Reset на активните филтри.",,Low,,Sprint 1 - MVP,"filter,ui"
US-12-T4,US-12,Task,US12 / Task 4 - Обновяване на списъка,"Презареждане или реактивно обновяване на results.",,Medium,,Sprint 1 - MVP,"filter,events"
US-13,EPIC-5,Story,US13 - Управление на потребители от админ,"Като администратор искам да виждам всички потребители, за да управлявам платформата. AC: Admin вижда таблица с роля и статус; търсенето по име и имейл работи; блокиран потребител не може да влиза; промените се пазят в базата.",,High,5,Sprint 2 - Improvements,"admin,users"
US-13-T1,US-13,Task,US13 / Task 1 - Таблица с потребители,"Създаване на admin таблица с всички users.",,High,,Sprint 2 - Improvements,"admin,users"
US-13-T2,US-13,Task,US13 / Task 2 - Показване на роля и статус,"Добавяне на role и active status колони.",,High,,Sprint 2 - Improvements,"admin,users"
US-13-T3,US-13,Task,US13 / Task 3 - Търсене по име или имейл,"Admin search в списъка с потребители.",,Medium,,Sprint 2 - Improvements,"admin,search"
US-13-T4,US-13,Task,US13 / Task 4 - Блокиране и разблокиране,"Action за промяна на user status.",,High,,Sprint 2 - Improvements,"admin,users"
US-13-T5,US-13,Task,US13 / Task 5 - Смяна на роля по избор,"Опционална промяна на role от admin.",,Low,,Sprint 2 - Improvements,"admin,roles"
US-14,EPIC-5,Story,US14 - Статистика и audit log,"Като администратор искам да виждам статистика и audit log, за да следя активността в платформата. AC: Admin вижда брой събития и регистрации; най-популярното събитие е изчислено коректно; има графика или summary; audit log пази ключовите действия; само Admin има достъп.",,High,5,Sprint 2 - Improvements,"admin,analytics"
US-14-T1,US-14,Task,US14 / Task 1 - Брой събития,"KPI карта или summary за total events.",,Medium,,Sprint 2 - Improvements,"admin,analytics"
US-14-T2,US-14,Task,US14 / Task 2 - Брой регистрации,"KPI карта или summary за total registrations.",,Medium,,Sprint 2 - Improvements,"admin,analytics"
US-14-T3,US-14,Task,US14 / Task 3 - Най-популярно събитие,"Изчисляване на най-популярно събитие по registrations.",,Medium,,Sprint 2 - Improvements,"admin,analytics"
US-14-T4,US-14,Task,US14 / Task 4 - Графика или summary view,"Визуализация на статистиката в admin dashboard.",,Low,,Sprint 2 - Improvements,"admin,dashboard"
US-14-T5,US-14,Task,US14 / Task 5 - Audit log страница,"Преглед и филтриране на login registration event actions registration actions и user blocking.",,High,,Sprint 2 - Improvements,"admin,audit-log"
